epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0167,0.95106,1.07309,1.30014,0.38011,0.24873,0.24943,0.14305,2.18418,3.98599,2.81,0.000552299,0.000552299,0.000552299
2,107.768,0.96251,0.89131,1.30475,0.48844,0.58391,0.60169,0.38156,1.23741,1.84275,1.65557,0.00108603,0.00108603,0.00108603
3,163.973,0.93388,0.83595,1.27485,0.63392,0.46809,0.52893,0.28309,1.39204,3.33534,1.92913,0.00159775,0.00159775,0.00159775
4,216.754,0.9005,0.74978,1.24762,0.93969,0.8577,0.953,0.77455,0.75204,0.65659,1.15245,0.00156798,0.00156798,0.00156798
5,271.452,0.85461,0.70438,1.21514,0.93024,0.88551,0.94909,0.74604,0.79603,0.70232,1.21309,0.00153497,0.00153497,0.00153497
6,323.986,0.81942,0.65593,1.19178,0.96239,0.91159,0.9839,0.80108,0.6967,0.53138,1.14165,0.00150197,0.00150197,0.00150197
7,379.194,0.78232,0.61724,1.16442,0.92573,0.91193,0.96716,0.81118,0.65682,0.52046,1.07306,0.00146896,0.00146896,0.00146896
8,434.375,0.76451,0.58119,1.15666,0.93951,0.95649,0.98668,0.83066,0.66692,0.44126,1.06969,0.00143595,0.00143595,0.00143595
9,489.53,0.73815,0.55618,1.13366,0.94913,0.97002,0.99099,0.83821,0.65822,0.41141,1.07374,0.00140295,0.00140295,0.00140295
10,544.272,0.71982,0.54339,1.12467,0.96107,0.97571,0.98821,0.84108,0.67345,0.3911,1.0834,0.00136994,0.00136994,0.00136994
11,599.056,0.70714,0.52738,1.11812,0.96217,0.96909,0.99119,0.84711,0.63656,0.39233,1.07658,0.00133693,0.00133693,0.00133693
12,653.172,0.70188,0.50856,1.1155,0.96857,0.9934,0.99439,0.84731,0.64005,0.37528,1.07123,0.00130393,0.00130393,0.00130393
13,707.355,0.67693,0.49044,1.09957,0.98237,0.9713,0.99386,0.85435,0.65784,0.34452,1.06178,0.00127092,0.00127092,0.00127092
14,760.399,0.66425,0.47532,1.09002,0.9895,0.98095,0.99421,0.87257,0.5827,0.33591,1.03533,0.00123791,0.00123791,0.00123791
15,813.653,0.67073,0.48588,1.09598,0.96333,0.98095,0.99343,0.84473,0.6356,0.37718,1.04974,0.00120491,0.00120491,0.00120491
16,865.567,0.64662,0.4658,1.07932,0.96866,0.97329,0.99248,0.8698,0.58652,0.34671,1.01399,0.0011719,0.0011719,0.0011719
17,917.693,0.63693,0.44451,1.07508,0.96296,0.9777,0.99225,0.86488,0.60447,0.34345,1.02471,0.00113889,0.00113889,0.00113889
18,968.971,0.63431,0.43587,1.07311,0.98058,0.97178,0.99352,0.87692,0.5759,0.32553,1.00248,0.00110589,0.00110589,0.00110589
19,1022.38,0.6144,0.42475,1.06211,0.96889,0.97988,0.99282,0.88091,0.56166,0.33015,1.00911,0.00107288,0.00107288,0.00107288
